Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Summer Olympics,Male,"Thomas ""Tommy""•Reidy",Tommy•Reidy,"26 November 1968 in Brooklyn, New York, New York (USA)",,United States,2780,183 cm / 68 kg,,,,,,,
1924 Summer Olympics,Male,"Vincent ""Vinnie""•Richards",Vinnie•Richards,"20 March 1903 in Yonkers, New York (USA)","28 September 1959 in New York, New York (USA)",United States,2782,178 cm,,,,,,,
1924 Summer Olympics,Male,"Watson McLean ""Watty""•Washburn",Watty•Washburn,"13 June 1894 in New York, New York (USA)","2 December 1973 in New York, New York (USA)",United States,2797,194 cm,,,,,,,
1996 Summer Olympics,Male,MaliVai Onyeaka•Washington,MaliVai•Washington,"20 June 1969 in Glen Cove, New York (USA)",,United States,2798,180 cm / 79 kg,,,,,,,
1996 Summer Olympics,Male,"Chadwick Elton ""Chad""•Green",Chad•Green,"28 June 1975 in Dunkirk, New York (USA)",,United States,3228,178 cm / 84 kg,"Kentucky Wildcats, Lexington (USA)",,,,,,
1996 Summer Olympics,Male,"William Christopher ""Billy""•Koch",Billy•Koch,"14 December 1974 in Rockville Centre, New York (USA)",,United States,3238,190 cm / 100 kg,"Clemson Tigers, Clemson (USA)",,,,,,
1976 Summer Olympics,Female,Nancy Elizabeth•Lieberman (-Cline-),Nancy•Lieberman,"1 July 1958 in Brooklyn, New York, New York (USA)",,United States,5342,175 cm / 63 kg,"Far Rockaway High School, New York (USA)",Lady Magic,,,,,
1976 Summer Olympics,Female,Gail Annette•Marquis,Gail•Marquis,"18 November 1954 in New York, New York (USA)",,United States,5356,182 cm / 75 kg,"Queens College, New York (USA)",,,,,,
1948 Summer Olympics,Male,"Jacques Pierre Ralph•Albrecht, Jr.",Pierre•Albrecht,"1 January 1926 in New York, New York (USA)","12 December 1971 in Bournemouth, England (GBR)",Switzerland,5593,175 cm / 64 kg,SSU Genève,,,Pierre Albrecht de Martini,,,
1936 Summer Olympics,Male,Ralph English•Bishop,Ralph•Bishop,"1 October 1915 in Brooklyn, New York, New York (USA)","1 October 1974 in Santa Clara, California (USA)",United States,5735,193 cm / 86 kg,"Washington Huskies, Seattle (USA)",,,,,,
1972 Summer Olympics; 1976 Summer Olympics,Male,Héctor•Blondet Texidor,Héctor•Blondet,"12 May 1947 in Brooklyn, New York, New York (USA)","9 September 2006 in Morovis, Puerto Rico (PUR)",Puerto Rico,5747,195 cm / 91 kg,"Capitanes de Arecibo, Arecibo (PUR)",El Mago,,,,,
1964 Summer Olympics,Male,"Lawrence Harvey ""Larry""•Brown",Larry•Brown,"14 September 1940 in Brooklyn, New York, New York (USA)",,United States,5795,178 cm / 73 kg,Goodyear Wingfoots/University of North Carolina,,,,,,
1952 Summer Olympics,Male,José Carlos•Bru Villarreal,Carlos•Bru,"9 June 1928 in New York, New York (USA)","7 March 2016 in Ciudad de México (Mexico City), Ciudad de México (MEX)",Mexico,5796,,,,,,,,
1992 Summer Olympics,Male,James Raymond•Carter Gaudino,James•Carter,"27 March 1964 in New York, New York (USA)",,Puerto Rico,5837,183 cm / 95 kg,"Guayama Wizards, Guayama (PUR)",,,,,,
1992 Summer Olympics; 2004 Summer Olympics,Male,Eddie•Casiano Ojeda,Eddie•Casiano,"20 September 1972 in New York, New York (USA)",,Puerto Rico,5840,192 cm / 86 kg,"Atléticos de San Germán, San Germán (PUR) / Leones de Ponce, Ponce (PUR)",,,,,,
1952 Summer Olympics,Male,"William Sanderson ""Bill""•Coulthard",Bill•Coulthard,"29 December 1923 in Buffalo, New York (USA)","18 December 2005 in Tillsonburg, Ontario (CAN)",Canada,5918,,"Tillsonburg Livingstons, Tillsonburg (CAN)",,,,,,
1984 Summer Olympics,Male,"Vernon ""Vern""•Fleming",Vern•Fleming,"2 February 1962 in New York, New York (USA)",,United States,6116,195 cm / 84 kg,"Georgia Bulldogs, Athens (USA)",,,,,,
1984 Summer Olympics; 1992 Summer Olympics,Male,Michael Jeffrey•Jordan,Michael•Jordan,"17 February 1963 in Brooklyn, New York, New York (USA)",,United States,6342,198 cm / 90 kg,"North Carolina Tar Heels, Chapel Hill (USA) / Chicago Bulls, Chicago (USA)",Air,,,,,
1972 Summer Olympics,Male,Kevin Francis•Joyce,Kevin•Joyce,"27 June 1951 in Bayside, Queens, New York, New York (USA)",,United States,6344,191 cm / 86 kg,"South Carolina Gamecocks, Columbia (USA)",,,,,,
1976 Summer Olympics,Male,"Mitchell William ""Mitch""•Kupchak",Mitch•Kupchak,"24 May 1954 in Hicksville, New York (USA)",,United States,6461,208 cm / 104 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
1992 Summer Olympics,Male,Christian Donald•Laettner,Christian•Laettner,"17 August 1969 in Angola, New York (USA)",,United States,6473,211 cm / 107 kg,"Duke Blue Devils, Durham (USA)",,,,,,
1948 Summer Olympics,Male,"Raymond George ""Ray""•Lumpp",Ray•Lumpp,"11 July 1923 in Brooklyn, New York, New York (USA)","16 January 2015 in Mineola, New York (USA)",United States,6559,185 cm / 81 kg,"New York University Violets, New York (USA)",Sugar,,,,,
1968 Summer Olympics; 1972 Summer Olympics,Male,"Clifford Bruce ""Cliff""•Luyk Diem",Cliff•Luyk,"28 June 1941 in Syracuse, New York (USA)",,Spain,6560,202 cm / 90 kg,"Real Madrid, Madrid (ESP)",,,,,,
1964 Summer Olympics; 1968 Summer Olympics,Male,"William ""Bill""•McCadney",Bill•McCadney,"5 February 1935 in Brooklyn, New York, New York (USA)","2 April 2009 in Arecibo, Puerto Rico (PUR)",Puerto Rico,6639,200 cm / 96 kg,"Capitanes de Arecibo, Arecibo (PUR)",,,,,,
1936 Summer Olympics,Male,"Arthur Owen ""Art""•Mollner",Art•Mollner,"20 December 1912 in Saranac Lake, New York (USA)","16 March 1995 in Westlake Village, California (USA)",United States,6682,183 cm / 73 kg,"Universal Pictures, Los Angeles (USA)",,,,,,
1960 Summer Olympics,Male,"Juan ""John""•Morales Tricoche",John•Morales,"24 February 1939 in New York, New York (USA)",,Puerto Rico,6695,196 cm / 83 kg,"Atléticos de San Germán, San Germán (PUR)",,,,,,
1984 Summer Olympics; 1992 Summer Olympics,Male,"Christopher Paul ""Chris""•Mullin",Chris•Mullin,"30 July 1963 in Brooklyn, New York, New York (USA)",,United States,6711,200 cm / 98 kg,Golden State Warriors,Mully,,,,,
1964 Summer Olympics,Male,"Jeffrey Vincent ""Jeff""•Mullins",Jeff•Mullins,"19 March 1942 in Astoria, Queens, New York, New York (USA)",,United States,6712,192 cm / 86 kg,"Duke Blue Devils, Durham (USA)",Pork Chop,,,,,
1984 Summer Olympics,Male,"Samuel Bruce ""Sam""•Perkins",Sam•Perkins,"14 June 1961 in Brooklyn, New York, New York (USA)",,United States,6852,205 cm / 106 kg,"North Carolina Tar Heels, Chapel Hill (USA)",The Big Smooth,,,,,
1996 Summer Olympics,Male,"Heriberto ""Eddie""•Rivera",Eddie•Rivera,"7 July 1970 in New York, New York (USA)",,Puerto Rico,6967,180 cm / 82 kg,"Piratas de Quebradillas, Quebradillas (PUR)",,,,,,
1972 Summer Olympics; 1976 Summer Olympics,Male,Rubén•Rodríguez León,Rubén•Rodríguez,"5 August 1953 in New York, New York (USA)",,Puerto Rico,6980,198 cm / 90 kg,"Vaqueros de Bayamón, Bayamón (PUR)",,,,,,
1968 Summer Olympics,Male,"Charles Thomas ""Charlie""•Scott",Charlie•Scott,"15 December 1948 in New York, New York (USA)",,United States,7073,196 cm / 82 kg,"North Carolina Tar Heels, Chapel Hill (USA)",,,,,,
1976 Summer Olympics,Male,"Steven Bernard ""Steve""•Sheppard",Steve•Sheppard,"21 March 1954 in New York, New York (USA)",,United States,7097,198 cm / 95 kg,"Maryland Terrapins, College Park, Maryland (USA)",Bear,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Male,Richard•Soto Estrada,Richard•Soto,"11 April 1968 in New York, New York (USA)",,Puerto Rico,7160,200 cm / 91 kg,"Taínos de Cabo Rojo, Cabo Rojo (PUR) / Avancinos de Villalba, Villalba (PUR)",,,,,,
1996 Summer Olympics,Male,"George ""Georgie""•Torres Dougherty",Georgie•Torres,"21 September 1957 in New York, New York (USA)",,Puerto Rico,7241,190 cm / 97 kg,"Vaqueros de Bayamón, Bayamón (PUR)",,,,,,
1988 Summer Olympics,Male,Riddick Lamont•Bowe,Riddick•Bowe,"10 August 1967 in Brooklyn, New York, New York (USA)",,United States,8625,195 cm / 99 kg,,Big Daddy,,,,,
1984 Summer Olympics,Male,Mark Anthony•Breland,Mark•Breland,"11 May 1963 in Brooklyn, New York, New York (USA)",,United States,8628,190 cm / 67 kg,Bedford-Stuyvesant Boxing Association,,,,,,
1952 Summer Olympics,Male,Edson L.•Brown,Edson•Brown,"16 May 1935 in New York, New York (USA)",12 September 1962,United States,8631,,,,,,,,
1964 Summer Olympics,Male,"Robert John ""Bob""•Carmody",Bob•Carmody,"4 September 1938 in Brooklyn, New York, New York (USA)","27 October 1967 in north of Thành phố Hồ Chí Minh (Ho Chi Minh City), Thành phố Hồ Chí Minh (VIE)",United States,8637,158 cm / 51 kg,"US Army, (USA)",Butterball,,,,,
1972 Summer Olympics,Male,Ricardo Luis•Carreras,Ricardo•Carreras,"8 December 1949 in New York, New York (USA)",,United States,8638,169 cm / 54 kg,"US Air Force, (USA)",,,,,,
1976 Summer Olympics,Male,"Howard Edward•Davis, Jr.","Howard•Davis, Jr.","14 February 1956 in Glen Cove, New York (USA)","30 December 2015 in Plantation, Florida (USA)",United States,8651,178 cm / 60 kg,,,,,,,
1928 Summer Olympics,Male,"Stephen Michael ""Steve""•Halaiko",Steve•Halaiko,"27 December 1908 in Waverly, New York (USA)","6 February 2001 in Orange Park, Florida (USA)",United States,8685,,Buffalo Orioles,,,,,,
1928 Summer Olympics,Male,Alexander Joseph•Kaletchitz,Alexander•Kaletchitz,"2 March 1898 in New York, New York (USA)","1 April 1994 in Palmetto, Florida (USA)",United States,8706,,Lenox Hill Settlement,,,,,,
1924 Summer Olympics,Male,Fidel•LaBarba,Fidel•LaBarba,"29 September 1905 in Bronx, New York (USA)","2 October 1981 in Los Angeles, California (USA)",United States,8710,160 cm / 51 kg,"LAAC, Los Angeles (USA)",,,,,,
1928 Summer Olympics,Male,"Thomas Crooks ""Tommy""•Lown",Tommy•Lown,"5 April 1904 in New York, New York (USA)","22 September 1977 in Schenectady, New York (USA)",United States,8720,,Kennedy Boys' Club of New York,,,,,,
1932 Summer Olympics,Male,"Louis ""Lou""•Salica",Lou•Salica,"16 November 1912 in Brooklyn, New York, New York (USA)","30 January 2002 in Brooklyn, New York, New York (USA)",United States,8763,163 cm,"Boys' Club of New York, New York (USA)",Luigi,,,,,
1960 Summer Olympics,Male,"Nikos Michaelis ""Nick""•Spanakos",Nick•Spanakos,"26 July 1938 in New York, New York (USA)",,United States,8774,161 cm / 56 kg,Elk's Club,Nickos,,,,,
1924 Summer Olympics,Male,"Salvatore Peter ""Al""•Tripoli",Al•Tripoli,"5 December 1904 in New York, New York (USA)","7 March 1990 in Yonkers, New York (USA)",United States,8789,,Hollywood Inn Club,,,Jack Williams,,,
1968 Summer Olympics,Male,"David ""Davey""•Vasquez",Davey•Vasquez,"11 October 1948 in New York, New York (USA)",,United States,8793,157 cm / 51 kg,,Baby,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Female,Shirley•Dery-Batlik,Shirley•Dery-Batlik,"17 November 1961 in White Plains, New York (USA)",,United States,11031,167 cm / 64 kg,,,,,,,
1992 Summer Olympics; 1996 Summer Olympics,Female,Alexandra•Harbold (Bernhart-),Alexandra•Harbold,"4 March 1965 in New York, New York (USA)",,United States,11036,172 cm / 64 kg,,,,,,,
1984 Summer Olympics,Female,Leslie Gail•Klein,Leslie•Klein,"20 December 1954 in Rochester, New York (USA)",,United States,11042,185 cm / 64 kg,"Middlebury College Panthers, Middlebury (USA)",,,,,,
1952 Summer Olympics,Male,John Justin•Anderson,John•Anderson,"2 April 1924 in Yonkers, New York (USA)","15 March 2001 in Sarasota, Florida (USA)",United States,11053,,,,,,,,
1960 Summer Olympics; 1968 Summer Olympics,Male,Paul John•Beachem,Paul•Beachem,"14 October 1934 in New York, New York (USA)",,United States,11058,188 cm / 79 kg,"US Army, (USA)",,,,,,
1952 Summer Olympics,Male,Paul John•Bochnewich,Paul•Bochnewich,"28 January 1925 in Yonkers, New York (USA)","14 November 2001 in Danbury, Connecticut (USA)",United States,11061,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1952 Summer Olympics,Male,Michael Nicholas•Budrock,Michael•Budrock,"3 September 1929 in Yonkers, New York (USA)","13 February 1998 in Bristol, Rhode Island (USA)",United States,11063,,,,,,,,
1972 Summer Olympics,Male,"Dwight Alexander ""Sandy""•Campbell",Sandy•Campbell,"26 February 1946 in Buffalo, New York (USA)",,United States,11066,183 cm / 82 kg,Ledyard Canoe Club,,,,,,
1964 Summer Olympics,Male,"Joseph Francis ""Joe""•Dronzek",Joe•Dronzek,"14 July 1940 in Yonkers, New York (USA)",,United States,11075,188 cm / 77 kg,"Yonkers PRC, Glenwood, New York (USA)",Stretch,,,,,
1936 Summer Olympics,Male,Burr•Folks,Burr•Folks,"27 June 1915 in Schenectady, New York (USA)","9 January 2000 in Hasbrouck Heights, New Jersey (USA)",United States,11079,,Pendleton Canoe Club,,,,,,
1936 Summer Olympics,Male,William•Gaehler,William•Gaehler,"15 February 1896 in New York, New York (USA)","21 October 1944 in Bronx, New York (USA)",United States,11080,,Pendleton Canoe Club,,,,,,
1956 Summer Olympics,Male,"Edward Francis•Houston, Jr.",Edward•Houston,"29 March 1937 in New York, New York (USA)",,United States,11103,183 cm / 68 kg,Inwood Canoe Club,,,,,,
1972 Summer Olympics; 1976 Summer Olympics,Male,Stephen Paul•Kelly,Stephen•Kelly,"20 December 1950 in New York, New York (USA)",,United States,11111,186 cm / 75 kg,"Inwood Canoe Club, Manhattan, New York (USA)",,,,,,
1984 Summer Olympics; 1988 Summer Olympics; 1992 Summer Olympics,Male,"Olney Brown ""Terry""•Kent, III",Terry•Kent,"8 August 1962 in Rochester, New York (USA)",,United States,11112,185 cm / 91 kg,,,,,,,
1936 Summer Olympics,Male,William “Bill”•Lofgren,Bill•Lofgren,"4 February 1913 in Brooklyn, New York, New York (USA)","11 June 2004 in Phoenix, Arizona (USA)",United States,11117,,Pendleton Canoe Club,,,,,,
1948 Summer Olympics,Male,"Stephen Albert ""Steve""•Macknowski",Steve•Macknowski,"16 February 1922 in Yonkers, New York (USA)",4 April 2013,United States,11123,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1972 Summer Olympics,Male,"Clayton W. ""Russ""•Nichols",Russ•Nichols,"30 May 1947 in Glen Cove, New York (USA)",,United States,11137,183 cm / 75 kg,"US Army, (USA)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,Robert William•O'Brien,Robert•O'Brien,"6 June 1933 in Mount Vernon, New York (USA)",,United States,11138,181 cm / 80 kg,"Inwood Canoe Club, Manhattan, New York (USA)",,,,,,
1936 Summer Olympics,Male,James Jerome•O'Rourke,James•O'Rourke,"4 May 1915 in Yonkers, New York (USA)","21 November 1983 in Yonkers, New York (USA)",United States,11139,,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1964 Summer Olympics,Male,"James Jerome•O'Rourke, Jr.","James•O'Rourke, Jr.","6 May 1942 in Yonkers, New York (USA)",,United States,11140,180 cm / 80 kg,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,John Cyril•Pagkos,John•Pagkos,"17 January 1936 in Yonkers, New York (USA)",,United States,11141,170 cm / 63 kg,"Yonkers PRC, Glenwood, New York (USA)",,,,,,
1936 Summer Olympics; 1948 Summer Olympics,Male,"Ernest W. ""Ernie""•Riedel",Ernie•Riedel,"13 July 1901 in New York, New York (USA)","26 March 1983 in Cape Coral, Florida (USA)",United States,11146,,Pendleton Canoe Club,,,,,,
1956 Summer Olympics; 1960 Summer Olympics,Male,"Kenneth James ""Ken""•Wilson",Ken•Wilson,"30 November 1938 in New York, New York (USA)",,United States,11171,180 cm / 68 kg,"Inwood Canoe Club, Manhattan, New York (USA)",,,,,,
1960 Summer Olympics,Male,John Albert•Wolters,John•Wolters,"9 September 1940 in Queens, New York, New York (USA)",,United States,11172,181 cm / 81 kg,"Inwood Canoe Club, Manhattan, New York (USA)",,,,,,
1984 Summer Olympics,Male,"John Brereton ""Bret""•Young",J. Bret•Young,"29 February 1960 in Bronx, New York (USA)",,United States,11173,183 cm / 80 kg,"Inwood Canoe Club, Manhattan, New York (USA)",,,,,,
1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics,Female,Edith Louise•Master,Edith•Master,"25 August 1932 in New York, New York (USA)","18 August 2013 in New York, New York (USA)",United States,11400,165 cm / 62 kg,,,,,,,
1964 Summer Olympics,Female,Karen Stuart•McIntosh (-Collins),Karen•McIntosh,"14 January 1940 in Gloversville, New York (USA)",,United States,11402,165 cm / 57 kg,Briarcliff Junior College,,,,,,
1972 Summer Olympics,Female,"Lois•Stephens (Goldberg-, Boyd-, Peterson-, Fairclough-)",Lois•Stephens,"27 March 1923 in New York, New York (USA)",2018,United States,11465,173 cm / 57 kg,Southern Seminary,,,Lois Boyd Stephens,,,
1976 Summer Olympics,Female,Mary Anne•Tauskey (-Parkhurst),Mary Anne•Tauskey,"3 December 1955 in Suffern, New York (USA)",,United States,11474,160 cm / 49 kg,,,,,,,
1976 Summer Olympics,Male,"William Vincent ""Buddy""•Brown",Buddy•Brown,"13 April 1956 in New York, New York (USA)",,United States,11679,175 cm / 62 kg,,,,,,,
1972 Summer Olympics; 1976 Summer Olympics; 1984 Summer Olympics; 1988 Summer Olympics; 1996 Summer Olympics,Male,"Bruce Oram•Davidson, Jr.",Bruce•Davidson,"31 December 1949 in Newburgh, New York (USA)",,United States,11808,180 cm / 66 kg,,,,,,,
1992 Summer Olympics,Male,Norman Adrian•Dello Joio,Norman•Dello Joio,"7 June 1956 in New York, New York (USA)",,United States,11870,172 cm / 68 kg,,,,,,,
1984 Summer Olympics; 1988 Summer Olympics,Male,"Joseph Halpin ""Joe""•Fargis, IV",Joe•Fargis,"2 April 1948 in New York, New York (USA)",,United States,11951,187 cm / 75 kg,,,,,,,
1948 Summer Olympics,Male,Frank Sherman•Henry,Frank•Henry,"15 December 1909 in Cambridge, New York (USA)","25 August 1989 in Chesterfield, Missouri (USA)",United States,12110,,"US Army, (USA)",,,,,,
1992 Summer Olympics,Male,Charles Rusty•Holzer,Charles•Holzer,"24 June 1969 in New York, New York (USA)",,United States Virgin Islands,12130,,,,,,,,
1932 Summer Olympics; 1936 Summer Olympics,Male,Isaac Leonard•Kitts,Isaac•Kitts,"15 January 1896 in Oswego, New York (USA)","1 April 1953 in Culver, Indiana (USA)",United States,12242,,"US Army, (USA)",,,,,,
1984 Summer Olympics; 1996 Summer Olympics; 2000 Summer Olympics,Male,Rutherford•Latham Morehead,Rutherford•Latham,"7 October 1954 in New York, New York (USA)",,Spain,12287,181 cm / 65 kg,Somosaguas,,,,,,
1960 Summer Olympics,Male,George Hayes•Morris,George•Morris,"26 February 1938 in New York, New York (USA)",,United States,12456,178 cm / 70 kg,Oxridge Hunt Club,,,,,,
1960 Summer Olympics; 1964 Summer Olympics; 1968 Summer Olympics,Male,Michael Owen•Page,Michael•Page,"23 September 1938 in New York, New York (USA)",,United States,12533,173 cm / 60 kg,,,,,,,
1960 Summer Olympics; 1964 Summer Olympics; 1968 Summer Olympics; 1972 Summer Olympics; 1976 Summer Olympics; 1984 Summer Olympics; 1992 Summer Olympics,Male,John Michael•Plumb,J. Michael•Plumb,"28 March 1940 in Islip, New York (USA)",,United States,12574,183 cm / 88 kg,,,,,,,
1936 Summer Olympics,Male,Carl William Albert•Raguse,Carl•Raguse,"19 March 1902 in Auburn, New York (USA)","1 March 1988 in San Antonio, Texas (USA)",United States,12598,,"US Army, (USA)",Rags,,,,,
1972 Summer Olympics,Male,Neal•Shapiro,Neal•Shapiro,"22 July 1945 in Brooklyn, New York, New York (USA)",,United States,12739,175 cm / 70 kg,,,,,,,
1996 Summer Olympics,Female,"Juliana ""Juli""•Furtado",Juli•Furtado,"4 April 1967 in New York, New York (USA)",,United States,13109,167 cm / 59 kg,GT Hyundai,,,,,,
1952 Summer Olympics; 1956 Summer Olympics; 1960 Summer Olympics,Male,"Richard Willis ""Dick""•Cortright",Dick•Cortright,"13 October 1929 in Buffalo, New York (USA)","4 September 2009 in Cheektowaga, New York (USA)",United States,14002,180 cm / 79 kg,Buffalo Athletic Club,,,,,,
